N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA_Y_GRUPO_DE_EDAD,AÑO,Población_Total,Hombres,Mujeres,Tasa_Total,Tasa_Hombres,Tasa_Mujeres,Brecha
4826,Provincia,Potosí,Modesto Omiste,Tahua,Rural,2012,6258,2934,3324,89.1818472355385,96.2167689161554,82.9723225030084,13.244446413147
4826,Provincia,Potosí,Modesto Omiste,Tahua,Rural,2024,5647,2748,2899,90.1186470692403,96.7612809315866,83.8220075888237,12.9392733427629
4827,Provincia,Potosí,Modesto Omiste,Tahua,15 a 24 ,2001,1177,556,621,96.856414613424,99.1007194244604,94.8470209339775,4.25369849048296
4827,Provincia,Potosí,Modesto Omiste,Tahua,15 a 24 ,2012,1658,779,879,99.1556091676719,99.614890885751,98.7485779294653,0.866312956285668
4827,Provincia,Potosí,Modesto Omiste,Tahua,15 a 24 ,2024,1135,594,541,99.5594713656388,99.4949494949495,99.630314232902,-0.135364737952529
4828,Provincia,Potosí,Modesto Omiste,Tahua,25 a 39 ,2001,1204,563,641,89.9501661129568,96.6252220248668,84.0873634945398,12.537858530327
4828,Provincia,Potosí,Modesto Omiste,Tahua,25 a 39 ,2012,1735,844,891,97.1181556195966,98.5781990521327,95.7351290684624,2.8430699836703
4828,Provincia,Potosí,Modesto Omiste,Tahua,25 a 39 ,2024,1503,728,775,98.8023952095808,99.3131868131868,98.3225806451613,0.990606168025522
4829,Provincia,Potosí,Modesto Omiste,Tahua,40 a 59 ,2001,1271,579,692,62.3131392604249,87.3920552677029,41.3294797687861,46.0625754989168
4829,Provincia,Potosí,Modesto Omiste,Tahua,40 a 59 ,2012,1696,824,872,89.5047169811321,97.0873786407767,82.3394495412844,14.7479290994923
4829,Provincia,Potosí,Modesto Omiste,Tahua,40 a 59 ,2024,1714,851,863,92.8238039673279,97.6498237367803,88.0648899188876,9.58493381789266
4830,Provincia,Potosí,Modesto Omiste,Tahua,60 o más ,2001,937,402,535,30.4162219850587,57.4626865671642,10.0934579439252,47.3692286232389
4830,Provincia,Potosí,Modesto Omiste,Tahua,60 o más ,2012,1169,487,682,62.7887082976903,85.2156057494867,46.7741935483871,38.4414122010996
4830,Provincia,Potosí,Modesto Omiste,Tahua,60 o más ,2024,1295,575,720,68.1853281853282,89.3913043478261,51.25,38.1413043478261
4831,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Villazón,2001,20518,9120,11398,83.8775709133444,94.2105263157895,75.609756097561,18.6007702182285
4831,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Villazón,2012,29495,13571,15924,93.2361417189354,97.6788740697075,89.4498869630746,8.22898710663286
4831,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Villazón,2024,34742,16278,18464,94.0936042830004,98.132448703772,90.5329289428076,7.59951976096434
4832,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2001,6362,2977,3385,98.223828984596,99.5297279140074,97.0753323485968,2.45439556541064
4832,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2012,8288,4031,4257,99.3967181467181,99.6526916397916,99.154334038055,0.498357601736643
4832,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2024,7765,3930,3835,99.703799098519,99.6946564885496,99.7131681877445,-0.0185116991948462
4833,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2001,6191,2711,3480,92.7475367468907,98.1187753596459,88.5632183908046,9.55555696884129
4833,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2012,9041,4177,4864,97.9869483464219,99.0184342829782,97.1011513157895,1.91728296718875
4833,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2024,11245,5341,5904,99.1907514450867,99.4195843475005,98.9837398373984,0.435844510102086
4834,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2001,5328,2378,2950,76.21996996997,93.6921783010934,62.135593220339,31.5565850807544
4834,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2012,7592,3448,4144,93.1375131717598,98.2888631090487,88.8513513513514,9.43751175769737
4834,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2024,9571,4383,5188,95.2878487096437,98.6995208761123,92.4055512721666,6.29396960394571
4835,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2001,2637,1054,1583,43.9135381114903,70.303605313093,26.3423878711308,43.9612174419622
4835,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2012,4574,1915,2659,72.8465238303454,89.5039164490862,60.849943587815,28.6539728612712
4835,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2024,6161,2624,3537,75.8643077422496,92.2256097560976,63.7263217415889,28.4992880145086
4836,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Urbana,2001,15929,7020,8909,87.3250047083935,96.2962962962963,80.2559209787855,16.0403753175108
4836,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Urbana,2012,23237,10637,12600,94.3280113611912,98.082166024255,91.1587301587302,6.9234358655248
4836,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Urbana,2024,29095,13530,15565,94.8650970957209,98.4109386548411,91.7828461291359,6.6280925257052
4837,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2001,5185,2421,2764,98.5342333654774,99.6282527881041,97.575976845152,2.05227594295214
4837,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2012,6630,3252,3378,99.4570135746606,99.6617466174662,99.2599171107164,0.401829506749778
4837,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2024,6630,3336,3294,99.7285067873303,99.7302158273381,99.7267759562842,0.00343987105397048
4838,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2001,4987,2148,2839,93.4228995388009,98.5102420856611,89.573793589292,8.93644849636907
4838,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2012,7306,3333,3973,98.1932658089242,99.1299129912991,97.4075006292474,1.72241236205171
4838,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2024,9742,4613,5129,99.2506672141244,99.4363754606547,99.0836420354845,0.352733425170172
4839,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2001,4057,1799,2258,80.5767808725659,95.7198443579767,68.5119574844996,27.2078868734771
4839,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2012,5896,2624,3272,94.1824966078697,98.6661585365854,90.5867970660147,8.0793614705707
4839,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2024,7857,3532,4325,95.8253786432481,98.9524348810872,93.271676300578,5.68075858050916
4840,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2001,1700,652,1048,51.3529411764706,78.2208588957055,34.6374045801527,43.5834543155529
4840,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2012,3405,1428,1977,76.2995594713656,90.9663865546219,65.7056145675266,25.2607719870953
4840,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2024,4866,2049,2817,77.907932593506,93.0209858467545,66.9151579694711,26.1058278772835
4841,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Rural,2001,4589,2100,2489,71.9110917411201,87.2380952380952,58.9795098433106,28.2585853947847
4841,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Rural,2012,6258,2934,3324,89.1818472355385,96.2167689161554,82.9723225030084,13.244446413147
4841,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Rural,2024,5647,2748,2899,90.1186470692403,96.7612809315866,83.8220075888237,12.9392733427629
4842,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2001,1177,556,621,96.856414613424,99.1007194244604,94.8470209339775,4.25369849048296
4842,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2012,1658,779,879,99.1556091676719,99.614890885751,98.7485779294653,0.866312956285668
4842,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,15 a 24 ,2024,1135,594,541,99.5594713656388,99.4949494949495,99.630314232902,-0.135364737952529
4843,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2001,1204,563,641,89.9501661129568,96.6252220248668,84.0873634945398,12.537858530327
4843,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2012,1735,844,891,97.1181556195966,98.5781990521327,95.7351290684624,2.8430699836703
4843,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,25 a 39 ,2024,1503,728,775,98.8023952095808,99.3131868131868,98.3225806451613,0.990606168025522
4844,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2001,1271,579,692,62.3131392604249,87.3920552677029,41.3294797687861,46.0625754989168
4844,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2012,1696,824,872,89.5047169811321,97.0873786407767,82.3394495412844,14.7479290994923
4844,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,40 a 59 ,2024,1714,851,863,92.8238039673279,97.6498237367803,88.0648899188876,9.58493381789266
4845,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2001,937,402,535,30.4162219850587,57.4626865671642,10.0934579439252,47.3692286232389
4845,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2012,1169,487,682,62.7887082976903,85.2156057494867,46.7741935483871,38.4414122010996
4845,Municipio/TIOC,Potosí,Modesto Omiste,Villazón,60 o más ,2024,1295,575,720,68.1853281853282,89.3913043478261,51.25,38.1413043478261
4846,Provincia,Potosí,Enrique Baldivieso,Villazón,Enrique Baldivieso,2001,996,462,534,87.6506024096386,97.1861471861472,79.4007490636704,17.7853981224768
4846,Provincia,Potosí,Enrique Baldivieso,Villazón,Enrique Baldivieso,2012,1131,558,573,93.6339522546419,98.5663082437276,88.8307155322862,9.73559271144138
4846,Provincia,Potosí,Enrique Baldivieso,Villazón,Enrique Baldivieso,2024,1511,764,747,96.8232958305758,99.2146596858639,94.3775100401606,4.83714964570322
4847,Provincia,Potosí,Enrique Baldivieso,Villazón,15 a 24 ,2001,309,149,160,98.705501618123,98.6577181208054,98.75,-0.0922818791946298
4847,Provincia,Potosí,Enrique Baldivieso,Villazón,15 a 24 ,2012,288,144,144,99.6527777777778,100.0,99.3055555555556,0.694444444444443
4847,Provincia,Potosí,Enrique Baldivieso,Villazón,15 a 24 ,2024,344,183,161,99.7093023255814,100.0,99.3788819875776,0.621118012422357
4848,Provincia,Potosí,Enrique Baldivieso,Villazón,25 a 39 ,2001,289,140,149,95.1557093425606,98.5714285714286,91.9463087248322,6.62511984659636
4848,Provincia,Potosí,Enrique Baldivieso,Villazón,25 a 39 ,2012,344,177,167,98.2558139534884,98.8700564971751,97.6047904191617,1.26526607801347
4848,Provincia,Potosí,Enrique Baldivieso,Villazón,25 a 39 ,2024,498,251,247,99.7991967871486,99.601593625498,100.0,-0.398406374501988
4849,Provincia,Potosí,Enrique Baldivieso,Villazón,40 a 59 ,2001,254,106,148,80.7086614173228,97.1698113207547,68.9189189189189,28.2508924018358
4849,Provincia,Potosí,Enrique Baldivieso,Villazón,40 a 59 ,2012,319,158,161,94.9843260188088,98.7341772151899,91.304347826087,7.42982938910292
4849,Provincia,Potosí,Enrique Baldivieso,Villazón,40 a 59 ,2024,432,219,213,97.2222222222222,99.0867579908676,95.3051643192488,3.78159367161875
4850,Provincia,Potosí,Enrique Baldivieso,Villazón,60 o más ,2001,144,67,77,61.1111111111111,91.044776119403,35.0649350649351,55.9798410544679
4850,Provincia,Potosí,Enrique Baldivieso,Villazón,60 o más ,2012,180,79,101,72.7777777777778,94.9367088607595,55.4455445544555,39.491164306304
4850,Provincia,Potosí,Enrique Baldivieso,Villazón,60 o más ,2024,237,111,126,85.6540084388186,97.2972972972973,75.3968253968254,21.9004719004719
4856,Provincia,Potosí,Enrique Baldivieso,Villazón,Rural,2001,996,462,534,87.6506024096386,97.1861471861472,79.4007490636704,17.7853981224768
4856,Provincia,Potosí,Enrique Baldivieso,Villazón,Rural,2012,1131,558,573,93.6339522546419,98.5663082437276,88.8307155322862,9.73559271144138
4856,Provincia,Potosí,Enrique Baldivieso,Villazón,Rural,2024,1511,764,747,96.8232958305758,99.2146596858639,94.3775100401606,4.83714964570322
4857,Provincia,Potosí,Enrique Baldivieso,Villazón,15 a 24 ,2001,309,149,160,98.705501618123,98.6577181208054,98.75,-0.0922818791946298
4857,Provincia,Potosí,Enrique Baldivieso,Villazón,15 a 24 ,2012,288,144,144,99.6527777777778,100.0,99.3055555555556,0.694444444444443
4857,Provincia,Potosí,Enrique Baldivieso,Villazón,15 a 24 ,2024,344,183,161,99.7093023255814,100.0,99.3788819875776,0.621118012422357
